unidade;setor_centro_custo;ano;mes;pacientes_lp;saidas;tx_lp
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;4;11;105,0;0,10476190476190476
HEM;UTI - ADULTO;2022;4;1;16,0;0,0625
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;5;10;127,0;0,07874015748031496
HEM;UTI - ADULTO;2022;5;1;19,0;0,05263157894736842
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;6;12;162,0;0,07407407407407407
HEM;UTI - ADULTO;2022;6;1;12,0;0,08333333333333333
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;7;10;145,0;0,06896551724137931
HEM;UTI - ADULTO;2022;7;1;18,0;0,05555555555555555
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;8;12;138,0;0,08695652173913043
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;9;16;176,0;0,09090909090909091
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;10;10;157,0;0,06369426751592357
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;11;20;171,0;0,11695906432748537
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2022;12;16;188,0;0,0851063829787234
HEM;UTI - ADULTO;2022;12;3;12,0;0,25
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;1;9;145,0;0,06206896551724138
HEM;UTI - ADULTO;2023;1;3;13,0;0,23076923076923078
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;2;10;143,0;0,06993006993006994
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;3;10;148,0;0,06756756756756757
HEM;UTI - ADULTO;2023;3;2;14,0;0,14285714285714285
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;4;16;146,0;0,1095890410958904
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;5;22;133,0;0,16541353383458646
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;6;20;159,0;0,12578616352201258
HEM;UTI - ADULTO;2023;6;1;3,0;0,3333333333333333
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;7;11;122,0;0,09016393442622951
HEM;UTI - ADULTO;2023;7;2;10,0;0,2
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;8;19;165,0;0,11515151515151516
HEM;UTI - ADULTO;2023;8;3;14,0;0,21428571428571427
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;9;7;124,0;0,056451612903225805
HEM;UTI - ADULTO;2023;9;2;10,0;0,2
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;10;20;115,0;0,17391304347826086
HEM;UTI - ADULTO;2023;10;3;10,0;0,3
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;11;12;125,0;0,096
HEM;UTI - ADULTO;2023;11;2;6,0;0,3333333333333333
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2023;12;9;123,0;0,07317073170731707
HEM;UTI - ADULTO;2023;12;6;16,0;0,375
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2024;1;17;237,0;0,07172995780590717
HEM;UTI - ADULTO;2024;1;1;12,0;0,08333333333333333
HEM;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;2024;2;7;367,0;0,01907356948228883
